district,year,plan,winner,winner_plan
21,1994,CA3,R,R
22,1994,CA3,R,X
23,1994,CA3,R,R
24,1994,CA3,D,D
25,1994,CA3,R,R
26,1994,CA3,D,D
27,1994,CA3,R,X
28,1994,CA3,R,R
29,1994,CA3,D,D
30,1994,CA3,D,D
31,1994,CA3,D,D
32,1994,CA3,D,D
33,1994,CA3,D,D
34,1994,CA3,D,D
35,1994,CA3,D,D
36,1994,CA3,D,X
37,1994,CA3,D,D
38,1994,CA3,R,R
39,1994,CA3,R,R
40,1994,CA3,R,R
41,1994,CA3,R,R
42,1994,CA3,D,D
43,1994,CA3,R,R
44,1994,CA3,R,R
45,1994,CA3,R,R
46,1994,CA3,R,X
47,1994,CA3,R,R
48,1994,CA3,R,R
49,1994,CA3,R,X
50,1994,CA3,D,D
51,1994,CA3,R,R
52,1994,CA3,R,R
1,1996,CA3,R,X
2,1996,CA3,R,R
3,1996,CA3,D,X
4,1996,CA3,R,R
5,1996,CA3,D,D
6,1996,CA3,D,D
7,1996,CA3,D,D
8,1996,CA3,D,D
9,1996,CA3,D,D
10,1996,CA3,D,X
11,1996,CA3,R,R
12,1996,CA3,D,D
13,1996,CA3,D,D
14,1996,CA3,D,D
15,1996,CA3,R,X
16,1996,CA3,D,D
17,1996,CA3,D,D
18,1996,CA3,D,D
19,1996,CA3,R,X
20,1996,CA3,D,D
21,1996,CA3,R,R
22,1996,CA3,D,X
23,1996,CA3,R,R
24,1996,CA3,D,D
25,1996,CA3,R,R
26,1996,CA3,D,D
27,1996,CA3,R,X
28,1996,CA3,R,R
29,1996,CA3,D,D
30,1996,CA3,D,D
31,1996,CA3,D,D
32,1996,CA3,D,D
33,1996,CA3,D,D
34,1996,CA3,D,D
35,1996,CA3,D,D
36,1996,CA3,D,X
37,1996,CA3,D,D
38,1996,CA3,R,R
39,1996,CA3,R,R
40,1996,CA3,R,R
41,1996,CA3,R,R
42,1996,CA3,D,D
43,1996,CA3,R,R
44,1996,CA3,R,R
45,1996,CA3,R,R
46,1996,CA3,D,X
47,1996,CA3,R,R
48,1996,CA3,R,R
49,1996,CA3,R,X
50,1996,CA3,D,D
51,1996,CA3,R,R
52,1996,CA3,R,R
1,1998,CA3,D,X
2,1998,CA3,R,R
3,1998,CA3,R,X
4,1998,CA3,R,R
5,1998,CA3,D,D
6,1998,CA3,D,D
7,1998,CA3,D,D
8,1998,CA3,D,D
9,1998,CA3,D,D
10,1998,CA3,D,X
11,1998,CA3,R,R
12,1998,CA3,D,D
13,1998,CA3,D,D
14,1998,CA3,D,D
15,1998,CA3,R,X
16,1998,CA3,D,D
17,1998,CA3,D,D
18,1998,CA3,D,D
19,1998,CA3,R,X
20,1998,CA3,D,D
21,1998,CA3,R,R
22,1998,CA3,D,X
23,1998,CA3,R,R
24,1998,CA3,D,D
25,1998,CA3,R,R
26,1998,CA3,D,D
27,1998,CA3,R,X
28,1998,CA3,R,R
29,1998,CA3,D,D
30,1998,CA3,D,D
31,1998,CA3,D,D
32,1998,CA3,D,D
33,1998,CA3,D,D
34,1998,CA3,D,D
