shape_id,county_name,precinct_id,sen_red,sen_blue,con_districts,con_contested,con_red_votes,con_blue_votes,sldu_districts,sldu_contested,sldu_red_votes,sldu_blue_votes,sldl_districts,sldl_contested,sldl_red_votes,sldl_blue_votes,population,white_pop,black_pop,asian_pop,hispanic_pop,other_pop,median_age,median_income,education_pop,school_pop,diploma_pop,college_pop,graduate_pop,area_km2,con_imputed,sldu_imputed,sldl_imputed
1411,JOHNSTON,PR31A,685,404,7,Yes,726,362,10,Yes,714,405,28,No,700,405,4679,3729,579,0,371,0,36,70957,3016,56,1409,1325,226,22,No,No,Yes
2283,JOHNSTON,PR31B,1360,747,7,Yes,1408,687,1012,Yes,885,510,26028,No,1372,728,6640,5070,920,18,442,190,37,70184,4221,220,1520,2114,366,30,No,No,Yes
1408,JOHNSTON,PR32,772,356,7,Yes,807,320,11,No,766,401,26,No,781,377,3159,2237,295,0,494,133,38,44777,1975,321,856,754,44,58,No,Yes,Yes
2284,JOHNSTON,PR33,1090,355,7,Yes,1140,293,1012,Yes,1028,392,28,No,1097,367,4820,4020,164,4,495,137,38,49225,3173,731,1010,1326,107,56,No,No,Yes
1410,JOHNSTON,PR34,1179,1188,7,Yes,1232,1123,1011,"No,Yes",1176,1239,26,No,1186,1181,6424,4173,1352,50,704,144,32,51782,4012,411,1519,1923,158,34,No,Yes,Yes
2692,JOHNSTON,PR35,1263,548,7,Yes,1364,454,1012,Yes,757,436,28,No,1247,568,6834,4715,859,50,1169,41,41,40856,4792,1231,1244,2013,304,99,No,No,Yes
2690,JOHNSTON,PR36,850,329,7,Yes,903,294,1011,"No,Yes",840,385,28,No,860,368,4211,3279,606,0,301,24,41,37811,2835,417,1354,981,84,107,No,Yes,Yes
2689,JOHNSTON,PR37,1137,475,7,Yes,1253,403,10,Yes,1161,512,28,No,1141,507,6958,4339,529,53,1964,74,35,35775,4360,1512,1482,1214,152,156,No,No,Yes
2691,JOHNSTON,PR38,699,148,7,Yes,753,115,10,Yes,745,143,22028,"No,Yes",698,172,2341,1677,236,0,333,94,46,35949,1724,547,614,507,57,117,No,No,Yes
956,JONES,P01,148,125,3,Yes,189,101,6,No,144,137,13,Yes,151,128,1032,800,172,0,33,26,45,37674,792,191,338,248,16,138,No,Yes,No
957,JONES,P02,138,48,3,Yes,173,28,6,No,135,57,13,Yes,147,41,768,596,128,0,24,19,45,37670,590,142,252,184,12,102,No,Yes,No
961,JONES,P03,174,58,3,Yes,212,40,6,No,170,68,13,Yes,172,61,842,594,190,0,39,20,45,36625,627,135,254,219,18,112,No,Yes,No
958,JONES,P04,383,302,3,Yes,472,240,6,No,370,322,13,Yes,464,226,2808,1624,1026,5,100,52,47,36734,2053,270,754,862,166,269,No,Yes,No
960,JONES,P05,164,339,3,Yes,239,288,6,No,158,353,13,Yes,208,294,1775,1017,596,0,128,35,45,34673,1243,207,449,526,61,235,No,Yes,No
962,JONES,P06,164,76,3,Yes,219,41,6,No,160,88,13,Yes,184,64,956,742,159,0,31,24,45,37702,733,177,313,230,14,127,No,Yes,No
959,JONES,P07,202,315,3,Yes,269,266,6,No,193,328,13,Yes,328,184,2310,1235,945,6,78,44,45,33141,1676,237,646,667,126,235,No,Yes,No
2390,LEE,A1,304,368,2,Yes,346,377,12,Yes,308,396,51054,Yes,165,239,8985,4211,2280,73,2295,126,35,34824,5767,1549,1882,2097,239,30,No,No,No
2391,LEE,A2,227,495,2,Yes,252,501,12,Yes,241,506,51054,Yes,132,331,11102,3514,3721,38,3634,196,32,29072,6752,2340,2486,1801,124,58,No,No,No
2389,LEE,B1,384,170,2,Yes,403,172,12,Yes,373,191,51054,Yes,219,173,4276,2733,917,42,431,152,36,45232,2716,435,815,1288,178,95,No,No,No
2388,LEE,B2,232,195,2,Yes,254,212,12,Yes,244,212,51054,Yes,212,232,3428,1605,792,26,955,50,34,33958,2121,572,760,682,108,12,No,No,No
2293,LEE,C1,425,252,2,Yes,428,283,12,Yes,406,287,51,Yes,346,357,6367,4011,901,16,1247,192,38,47090,4182,677,1457,1891,157,96,No,No,No
2287,LEE,C2,446,192,2,Yes,480,219,12,Yes,462,218,51,Yes,352,333,4335,2843,610,51,721,109,39,53970,2904,462,1189,1161,93,78,No,No,No
2285,LEE,D1,564,274,2,Yes,593,290,12,Yes,551,314,51,Yes,462,403,5985,4733,623,128,365,136,42,68351,4162,285,1513,2034,330,101,No,No,No
2286,LEE,D2,532,304,2,Yes,597,298,12,Yes,521,348,51,Yes,422,466,5995,4948,415,163,369,101,42,70742,4167,182,1010,2529,446,47,No,No,No
2290,LEE,E1,429,251,2,Yes,475,265,12,Yes,430,287,51,Yes,314,422,3691,2920,263,20,379,109,43,46658,2598,458,894,1115,130,105,No,No,No
2291,LEE,E2,248,260,2,Yes,275,260,12,Yes,237,288,51054,Yes,216,305,5227,3150,801,77,1035,164,43,47947,3719,597,1044,1645,433,37,No,No,No
1332,LENOIR,C,490,472,3,Yes,593,391,507,"No,Yes",468,496,10012,No,453,499,3554,1530,1953,0,71,0,42,36604,2318,482,1021,739,76,97,No,Yes,Yes
1312,LENOIR,FC,1413,582,7,Yes,1436,544,7,Yes,1469,546,10,No,1406,620,5550,3755,1153,45,289,308,43,45474,4032,449,1640,1736,207,80,No,No,Yes
1310,LENOIR,I,480,219,7,Yes,500,214,507,"No,Yes",476,239,10012,No,481,227,2929,2033,443,3,265,183,40,46475,1979,280,705,941,53,58,No,Yes,Yes
1316,LENOIR,K1,6,309,1,Yes,7,310,5,No,3,301,12,No,-1,292,1574,22,1467,0,26,59,26,11054,778,262,349,153,14,4,No,Yes,Yes
1309,LENOIR,K2,12,385,1,Yes,10,388,5,No,12,386,12,No,4,384,867,71,723,0,64,9,46,17146,617,228,226,153,9,1,No,Yes,Yes
1330,LENOIR,K3,101,427,1,Yes,114,421,507,"No,Yes",97,435,12,No,94,434,1894,727,997,1,102,67,49,27629,1439,398,593,417,31,3,No,Yes,Yes
1328,LENOIR,K4,751,642,7,Yes,780,572,507,"No,Yes",744,669,10012,No,722,665,2758,1349,1241,53,67,49,50,42945,2030,232,696,937,164,6,No,Yes,Yes
1335,LENOIR,K5,176,518,1,Yes,156,532,507,"No,Yes",183,521,10012,No,179,513,1248,627,564,6,14,37,52,46837,963,75,331,479,78,2,No,Yes,Yes
1317,LENOIR,K6,108,800,1,Yes,103,799,5,No,101,794,12,No,85,782,3349,310,2788,0,181,70,33,21569,2002,450,887,600,65,11,No,Yes,Yes
1314,LENOIR,K7,129,767,1,Yes,126,779,5,No,125,743,12,No,104,736,3771,371,3273,0,64,64,39,28094,2503,559,1012,806,127,28,No,Yes,Yes
1329,LENOIR,K8,4,557,1,Yes,5,555,5,No,5,562,12,No,-6,558,748,15,709,0,3,21,33,20882,443,115,183,125,21,3,No,Yes,Yes
1315,LENOIR,K9,368,659,1,Yes,333,697,5,No,366,660,12,No,361,651,4027,1932,1805,119,136,35,48,40144,2862,410,980,1241,231,11,No,Yes,Yes
